P,V,Phi,A,k,Melt Pool Depth,Melt Pool Width,Peak Temperature
48.1428571,283.428571,0.667857143,0.660714286,22.0857143,1.00909E-05,0.000184727,2479.171733
37.5714286,292.571429,0.682142857,0.439285714,1.51428571,1.8182E-06,9.76364E-05,3401.570534
45.2857143,365.714286,0.460714286,0.867857143,12.8285714,1.68889E-05,0.000188667,3088.637653
32.4285714,187.428571,0.453571429,0.882142857,5.97142857,2.35294E-05,0.000169294,3348.555939
38.4285714,306.285714,0.353571429,0.689285714,24.1428571,0.0000062,0.0001438,2316.75175
47,333.714286,0.653571429,0.453571429,17.9714286,4.4444E-06,0.000126222,2304.355267
45,219.428571,0.382142857,0.539285714,13.5142857,1.05714E-05,0.000148143,2571.211102
49.2857143,260.571429,0.253571429,0.617857143,11.8,1.50833E-05,0.000163833,2882.381261
41,105.142857,0.603571429,0.710714286,2.88571429,2.75862E-05,0.000159172,3350.953624
30.7142857,91.4285714,0.403571429,0.560714286,17.6285714,8.7879E-06,0.000145576,2280.417935
45.5714286,246.857143,0.325,0.717857143,2.2,1.42308E-05,0.000128154,3349.341291
47.8571429,320,0.396428571,0.760714286,3.57142857,0.0000175,0.0001316,3370.097106
42.1428571,393.142857,0.246428571,0.489285714,14.2,0.000003625,0.0001035,2356.11878
43.8571429,123.428571,0.260714286,0.432142857,4.25714286,0.00002064,0.0001404,3419.752206
43,297.142857,0.689285714,0.575,20.7142857,6.1818E-06,0.000150182,2351.679862
37.2857143,256,0.696428571,0.596428571,20.3714286,5.8333E-06,0.0001325,2320.285113
41.2857143,82.2857143,0.510714286,0.632142857,18.3142857,3.35946E-05,0.000189838,2411.478899
34.4285714,196.571429,0.225,0.696428571,5.28571429,1.89375E-05,0.000143625,3402.19123
43.2857143,137.142857,0.303571429,0.425,17.2857143,0.000007,0.000142818,2301.453074
30.4285714,338.285714,0.367857143,0.553571429,13.8571429,2.2222E-06,0.000094,2265.316124
35.5714286,182.857143,0.639285714,0.846428571,23.8,1.23529E-05,0.000206118,2440.952857
31,251.428571,0.203571429,0.417857143,16.6,1.667E-07,8.66667E-05,2135.627979
31.5714286,118.857143,0.217857143,0.889285714,19.3428571,1.75769E-05,0.000201539,2524.348739
45.8571429,269.714286,0.275,0.796428571,11.4571429,2.00833E-05,0.000189833,3160.490554
41.8571429,192,0.560714286,0.682142857,11.1142857,0.000018625,0.000187625,2912.846863
35.8571429,288,0.575,0.739285714,21.0571429,7.1818E-06,0.000147818,2381.645819
47.2857143,310.857143,0.546428571,0.510714286,3.91428571,0.0000139,0.0001284,3325.187414
30.1428571,315.428571,0.439285714,0.639285714,4.94285714,0.0000085,0.0001112,3056.121478
37,237.714286,0.496428571,0.875,6.31428571,2.20769E-05,0.000185385,3328.527894
36.7142857,86.8571429,0.332142857,0.703571429,9.05714286,3.49429E-05,0.0001868,2885.628349
44.1428571,146.285714,0.582142857,0.725,21.4,1.83333E-05,0.000234476,2563.33716
46.1428571,374.857143,0.296428571,0.546428571,19.6857143,5.4444E-06,0.000128222,2342.302632
33.5714286,155.428571,0.567857143,0.653571429,3.22857143,0.0000207,0.0001405,3365.515771
38.7142857,342.857143,0.282142857,0.732142857,9.4,1.25556E-05,0.000138889,2947.096379
38.1428571,242.285714,0.375,0.753571429,14.5428571,1.24615E-05,0.00017,2666.030197
40.4285714,397.714286,0.539285714,0.603571429,9.74285714,0.00000825,0.00012925,2698.263632
42.7142857,100.571429,0.596428571,0.625,16.9428571,0.0000297,0.000190933,2477.52201
44.4285714,205.714286,0.239285714,0.896428571,16.2571429,3.02667E-05,0.000190667,2809.271286
34.7142857,141.714286,0.660714286,0.410714286,8.02857143,6.9545E-06,0.000122364,2492.103213
41.5714286,388.571429,0.589285714,0.810714286,10.7714286,0.000014875,0.0001625,3034.335105
40.1428571,96,0.446428571,0.817857143,1.17142857,1.47813E-05,0.000129313,3348.4683
34.1428571,301.714286,0.432142857,0.825,24.8285714,0.000007,0.0001476,2344.367795
31.2857143,379.428571,0.425,0.403571429,5.62857143,-0.000007375,0.000077,2449.276868
39,361.142857,0.339285714,0.532142857,4.6,8.8889E-06,0.000108222,3213.12168
48.7142857,114.285714,0.467857143,0.589285714,8.71428571,3.57037E-05,0.000190074,3037.315144
36.1428571,228.571429,0.475,0.746428571,7,1.90714E-05,0.000163286,3296.816639
39.5714286,201.142857,0.625,0.446428571,12.4857143,0.000006,0.000126133,2392.597774
33.8571429,352,0.610714286,0.782142857,8.37142857,1.16667E-05,0.000131778,2973.124718
43.5714286,233.142857,0.553571429,0.460714286,23.4571429,4.0769E-06,0.000126154,2223.295411
35.2857143,347.428571,0.389285714,0.775,22.7714286,6.3333E-06,0.000128889,2345.854931
37.8571429,164.571429,0.617857143,0.675,2.54285714,1.89474E-05,0.000132421,3370.533041
42.4285714,169.142857,0.489285714,0.803571429,18.6571429,1.97222E-05,0.000225667,2700.482748
46.4285714,109.714286,0.346428571,0.789285714,7.68571429,4.87143E-05,0.000206571,3372.835233
48.4285714,128,0.675,0.832142857,10.4285714,5.15417E-05,0.000225667,3243.728966
39.2857143,356.571429,0.646428571,0.839285714,14.8857143,0.000012,0.000172,2735.234588
32.7142857,274.285714,0.503571429,0.610714286,23.1142857,3.4545E-06,0.000125455,2211.94859
33,265.142857,0.532142857,0.767857143,10.0857143,0.00001225,0.000147167,2800.659672
35,132.571429,0.517857143,0.496428571,24.4857143,0.000004913,0.000144609,2177.768479
